 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 093726
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     839
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   62.85	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.010309	   -0.014927	   -0.004618	    0.001531	   -0.003623	   -0.002093	    0.003193	   -0.001849	    0.001344	    0.005923	   -0.007082	   -0.001159	    0.011360	   -0.022024	   -0.010664	    0.007770	   -0.010630	   -0.002860	   -0.000739	   -0.078199	   -0.078938	    0.001198	   -0.007164	   -0.005966	    0.001065	   -0.002759	   -0.001695	    0.002147	   -0.005964	   -0.003817	   -0.000476	    0.000644	    0.000168	    0.000038	   -0.002204	   -0.002167	    0.004576	   -0.008064	   -0.003488	   -0.013690	   -0.028241	   -0.041930	   -0.000065	   -0.034333	   -0.034399	   -0.018941	   -0.010184	   -0.029125	    0.009654	   -0.012662	   -0.003008	   -0.000628	   -0.003158	   -0.003786	   -0.001716	   -0.000285	   -0.002001	   -0.001957	   -0.002844	   -0.004801	   -0.032499	   -0.018954	   -0.051453	   -0.039197	   -0.075888	   -0.115085
     0.150	0	0	    0	    0.011861	   -0.012253	   -0.000392	    0.005080	   -0.001351	    0.003729	    0.005909	    0.003390	    0.009299	    0.006091	   -0.003377	    0.002714	    0.015080	   -0.012834	    0.002246	    0.024045	   -0.002155	    0.021890	    0.041028	   -0.070892	   -0.029865	   -0.018250	   -0.008069	   -0.026319	    0.006763	   -0.001813	    0.004950	    0.008734	   -0.003047	    0.005687	    0.003698	    0.000892	    0.004590	    0.000500	   -0.002391	   -0.001891	    0.005832	   -0.001936	    0.003896	   -0.014793	   -0.001887	   -0.016680	    0.067248	   -0.000826	    0.066421	   -0.030295	   -0.027680	   -0.057975	   -0.000576	   -0.000640	   -0.001216	    0.005028	   -0.000524	    0.004504	    0.002779	   -0.001028	    0.001751	   -0.002463	   -0.006410	   -0.008873	   -0.050775	   -0.062244	   -0.113019	    0.066032	   -0.079527	   -0.013494
     0.225	0	0	    0	    0.003986	   -0.019774	   -0.015788	    0.006721	   -0.003773	    0.002948	    0.010250	   -0.002874	    0.007376	    0.007746	   -0.004435	    0.003311	    0.010216	   -0.004152	    0.006064	    0.024151	   -0.005237	    0.018914	    0.078165	   -0.074410	    0.003755	   -0.026430	   -0.036406	   -0.062837	    0.008832	    0.002197	    0.011029	    0.005532	    0.000825	    0.006357	    0.002941	    0.002386	    0.005327	    0.003081	   -0.002472	    0.000609	    0.007968	    0.008299	    0.016266	   -0.007160	   -0.031450	   -0.038610	    0.082898	    0.044886	    0.127783	   -0.030272	   -0.040682	   -0.070954	   -0.000549	    0.003741	    0.003192	    0.007091	   -0.003789	    0.003301	    0.002952	   -0.000088	    0.002864	   -0.003868	   -0.004259	   -0.008127	   -0.055218	   -0.081866	   -0.137084	    0.075741	   -0.006501	    0.069240
     0.300	0	0	    0	    0.004092	   -0.026213	   -0.022121	    0.001434	    0.001649	    0.003083	    0.002318	    0.005694	    0.008012	    0.008157	   -0.004125	    0.004032	    0.008871	   -0.001781	    0.007090	    0.007317	    0.003161	    0.010478	    0.054098	   -0.050316	    0.003782	   -0.026778	   -0.043653	   -0.070431	    0.010794	    0.002076	    0.012870	    0.004520	    0.000060	    0.004580	    0.002972	    0.001600	    0.004571	    0.002156	   -0.001008	    0.001149	    0.005567	    0.009158	    0.014725	   -0.019178	   -0.007756	   -0.026934	    0.125675	    0.040429	    0.166104	   -0.031184	   -0.048181	   -0.079365	    0.002279	   -0.000807	    0.001472	    0.003027	    0.001603	    0.004631	    0.002979	   -0.000700	    0.002279	   -0.002285	   -0.007255	   -0.009540	   -0.055273	   -0.089659	   -0.144932	    0.100919	    0.020720	    0.121639
     0.375	0	0	    0	    0.001988	   -0.029769	   -0.027781	    0.001521	   -0.001849	   -0.000329	    0.001604	    0.010080	    0.011684	    0.006163	   -0.001603	    0.004560	    0.009944	   -0.001192	    0.008752	    0.002066	    0.008752	    0.010817	    0.042853	   -0.028300	    0.014554	   -0.027010	   -0.047142	   -0.074152	    0.009209	    0.001470	    0.010679	   -0.012747	    0.026953	    0.014207	    0.003291	    0.000567	    0.003858	    0.002829	   -0.000372	    0.002457	    0.001987	    0.008993	    0.010980	   -0.018411	   -0.013619	   -0.032030	    0.135201	    0.034252	    0.169453	   -0.034365	   -0.049972	   -0.084336	    0.004463	   -0.003108	    0.001356	    0.008003	   -0.003356	    0.004647	    0.003654	   -0.001165	    0.002489	   -0.004227	   -0.006428	   -0.010654	   -0.060454	   -0.090419	   -0.150873	    0.089499	    0.030604	    0.120103
     0.450	0	0	    0	   -0.013044	   -0.003585	   -0.016629	    0.000536	   -0.001098	   -0.000561	   -0.002225	    0.005770	    0.003545	    0.002111	   -0.002053	    0.000058	   -0.000687	    0.011597	    0.010910	    0.013646	    0.003948	    0.017593	    0.057228	   -0.029604	    0.027624	   -0.032947	   -0.041045	   -0.073992	    0.008096	    0.001549	    0.009644	   -0.018763	    0.026805	    0.008042	    0.003679	   -0.000520	    0.003158	    0.001213	   -0.000114	    0.001099	    0.005430	    0.007572	    0.013002	   -0.027346	   -0.023267	   -0.050613	    0.075352	   -0.003997	    0.071355	   -0.024823	   -0.047711	   -0.072534	    0.006412	   -0.004542	    0.001870	    0.010138	   -0.004773	    0.005365	    0.004619	   -0.000586	    0.004033	    0.001812	   -0.010085	   -0.008273	   -0.042742	   -0.094467	   -0.137208	    0.041242	    0.008320	    0.049562
     0.525	0	0	    0	    0.004416	   -0.012102	   -0.007686	    0.006105	   -0.004783	    0.001322	    0.003574	    0.004129	    0.007703	    0.003910	   -0.002890	    0.001020	    0.000811	    0.006495	    0.007306	   -0.004758	    0.003133	   -0.001625	    0.038535	   -0.034353	    0.004182	   -0.003509	   -0.036134	   -0.039643	    0.006333	    0.000137	    0.006470	    0.013684	   -0.010155	    0.003528	    0.002221	    0.001116	    0.003337	    0.004769	   -0.000120	    0.004649	    0.004844	    0.002284	    0.007128	   -0.003595	   -0.016162	   -0.019757	    0.030861	   -0.025137	    0.005724	    0.013416	   -0.034313	   -0.020896	    0.007677	   -0.001597	    0.006080	    0.004078	   -0.000629	    0.003450	    0.003305	    0.001225	    0.004530	    0.008250	   -0.003032	    0.005219	    0.014577	   -0.063086	   -0.048508	    0.073145	   -0.031423	    0.041722
     0.600	0	0	    0	    0.018779	   -0.013449	    0.005329	    0.005629	   -0.000311	    0.005318	   -0.000305	    0.008097	    0.007792	    0.008878	   -0.007109	    0.001769	    0.016282	   -0.011189	    0.005093	   -0.008891	    0.008328	   -0.000563	    0.039688	   -0.042878	   -0.003191	    0.011907	   -0.003425	    0.008483	    0.009589	   -0.003278	    0.006311	    0.020159	   -0.009055	    0.011105	    0.001595	    0.001427	    0.003022	    0.005220	   -0.000886	    0.004334	    0.009500	   -0.005749	    0.003751	   -0.000603	    0.000850	    0.000247	   -0.003578	    0.020622	    0.017044	    0.012984	   -0.006416	    0.006569	    0.008390	    0.000543	    0.008933	   -0.001958	    0.006076	    0.004118	    0.002227	    0.000989	    0.003216	    0.009001	   -0.000828	    0.008173	    0.013338	   -0.001598	    0.011740	   -0.011149	    0.038876	    0.027727
