 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 094048
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     819
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.35	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.014755	   -0.012956	    0.001800	    0.005373	    0.004728	    0.010101	   -0.011832	   -0.000854	   -0.012686	   -0.002352	   -0.001590	   -0.003943	    0.016024	   -0.013458	    0.002566	    0.013149	   -0.013882	   -0.000734	   -0.008074	   -0.020286	   -0.028360	    0.012472	   -0.001491	    0.010981	    0.015098	   -0.001177	    0.013921	    0.023948	   -0.013031	    0.010917	   -0.022533	   -0.004345	   -0.026878	    0.019400	    0.015107	    0.034507	    0.034525	   -0.014159	    0.020366	   -0.003295	    0.005223	    0.001927	   -0.006134	    0.009899	    0.003766	    0.013218	    0.005126	    0.018344	    0.007094	    0.001530	    0.008624	   -0.017625	   -0.000004	   -0.017629	   -0.000333	    0.005352	    0.005019	    0.028144	    0.006747	    0.034891	    0.019570	    0.005318	    0.024888	   -0.007881	    0.015518	    0.007637
     0.150	0	0	    0	   -0.006002	   -0.004925	   -0.010927	    0.011859	    0.011568	    0.023427	   -0.025489	   -0.013712	   -0.039201	   -0.008871	   -0.013880	   -0.022751	    0.037382	   -0.006217	    0.031165	    0.038297	    0.001022	    0.039319	   -0.067494	   -0.031943	   -0.099437	   -0.000657	    0.007110	    0.006453	    0.069460	    0.012392	    0.081852	    0.034167	   -0.006440	    0.027727	   -0.015716	   -0.007524	   -0.023240	    0.040855	    0.033161	    0.074016	    0.103902	    0.024270	    0.128173	   -0.009376	    0.006369	   -0.003007	   -0.086468	    0.050415	   -0.036053	    0.055675	    0.013036	    0.068711	    0.011908	    0.012774	    0.024682	    0.013192	   -0.008874	    0.004318	    0.023204	    0.031188	    0.054392	    0.057465	    0.037437	    0.094902	    0.037108	    0.015577	    0.052685	   -0.063671	   -0.051449	   -0.115121
     0.225	0	0	    0	   -0.000225	   -0.020648	   -0.020874	    0.028993	    0.012877	    0.041871	   -0.022023	   -0.023590	   -0.045613	    0.000241	   -0.020507	   -0.020266	    0.050437	    0.015886	    0.066324	    0.061636	    0.025421	    0.087057	   -0.070755	   -0.062672	   -0.133427	    0.007584	    0.001663	    0.009247	    0.143642	    0.070170	    0.213812	    0.018411	    0.016154	    0.034565	   -0.011026	   -0.000954	   -0.011980	    0.050514	    0.062056	    0.112570	    0.142495	    0.088884	    0.231380	   -0.000533	   -0.014286	   -0.014819	   -0.052616	   -0.029632	   -0.082248	    0.137385	    0.062186	    0.199571	    0.070539	    0.056688	    0.127227	    0.018606	    0.065655	    0.084261	    0.025272	    0.048425	    0.073697	    0.070801	    0.068176	    0.138976	    0.056385	    0.022005	    0.078390	   -0.090586	   -0.076431	   -0.167016
     0.300	0	0	    0	    0.015293	   -0.014606	    0.000687	    0.028085	    0.021572	    0.049657	   -0.029399	   -0.021714	   -0.051113	    0.003627	   -0.016484	   -0.012856	    0.061393	    0.031712	    0.093105	    0.067050	    0.059312	    0.126362	   -0.092860	   -0.049631	   -0.142491	    0.018629	   -0.005867	    0.012762	    0.162439	    0.137123	    0.299562	    0.005038	    0.017517	    0.022556	   -0.015411	    0.000095	   -0.015317	    0.047780	    0.056044	    0.103824	    0.155700	    0.132721	    0.288421	   -0.001333	   -0.015101	   -0.016434	   -0.040842	   -0.040228	   -0.081071	    0.139530	    0.132002	    0.271532	    0.100908	    0.064592	    0.165500	    0.025259	    0.057907	    0.083166	    0.025717	    0.045954	    0.071672	    0.077930	    0.077968	    0.155899	    0.055861	    0.034378	    0.090239	   -0.086591	   -0.105024	   -0.191614
     0.375	0	0	    0	    0.012089	   -0.002657	    0.009432	    0.024644	    0.020955	    0.045599	   -0.014430	   -0.027831	   -0.042261	    0.001240	   -0.010210	   -0.008970	    0.066610	    0.040765	    0.107374	    0.068798	    0.057862	    0.126661	   -0.037845	   -0.084258	   -0.122103	    0.016698	   -0.004265	    0.012434	    0.159555	    0.154752	    0.314308	    0.034619	   -0.026192	    0.008427	   -0.020604	   -0.005787	   -0.026391	    0.043807	    0.052906	    0.096714	    0.132402	    0.145219	    0.277621	   -0.013201	   -0.019390	   -0.032590	   -0.035693	   -0.043681	   -0.079374	    0.141451	    0.125553	    0.267004	    0.109044	    0.080358	    0.189402	    0.040251	    0.059318	    0.099569	    0.015420	    0.041798	    0.057217	    0.075305	    0.084023	    0.159328	    0.042825	    0.037995	    0.080820	   -0.084483	   -0.118053	   -0.202536
     0.450	0	0	    0	    0.025181	   -0.007256	    0.017924	    0.016787	    0.017064	    0.033851	   -0.019301	   -0.023997	   -0.043298	   -0.004609	   -0.015460	   -0.020069	    0.067522	    0.052059	    0.119581	    0.056650	    0.066672	    0.123322	   -0.043403	   -0.034676	   -0.078079	    0.016901	   -0.003656	    0.013245	    0.148601	    0.142620	    0.291221	    0.003175	    0.029133	    0.032308	   -0.020777	   -0.011896	   -0.032673	    0.030847	    0.040230	    0.071077	    0.123431	    0.118690	    0.242121	   -0.007508	   -0.022369	   -0.029876	   -0.013573	   -0.011358	   -0.024931	    0.131758	    0.122201	    0.253959	    0.108842	    0.110552	    0.219393	    0.034401	    0.069185	    0.103586	    0.008446	    0.025381	    0.033827	    0.079242	    0.072760	    0.152002	    0.038799	    0.021513	    0.060312	   -0.038558	   -0.098173	   -0.136731
     0.525	0	0	    0	    0.018653	   -0.004049	    0.014604	    0.006039	    0.007738	    0.013776	   -0.008453	   -0.028922	   -0.037375	   -0.005004	   -0.018755	   -0.023759	    0.066173	    0.054452	    0.120624	    0.058698	    0.060193	    0.118891	   -0.031448	   -0.035865	   -0.067313	    0.011979	   -0.000892	    0.011086	    0.123202	    0.141039	    0.264240	    0.016222	    0.032293	    0.048514	   -0.016096	   -0.015184	   -0.031280	    0.027798	    0.034099	    0.061897	    0.119532	    0.119712	    0.239244	   -0.000186	   -0.004943	   -0.005129	    0.017474	    0.005115	    0.022590	    0.117633	    0.118572	    0.236205	    0.135935	    0.085457	    0.221392	    0.040153	    0.063058	    0.103210	    0.003042	    0.019541	    0.022582	    0.081570	    0.069835	    0.151405	    0.034772	    0.022750	    0.057522	   -0.001429	   -0.048858	   -0.050287
     0.600	0	0	    0	    0.008643	    0.001658	    0.010301	   -0.005046	    0.002997	   -0.002050	   -0.007770	   -0.013317	   -0.021087	   -0.001440	   -0.014256	   -0.015696	    0.061994	    0.059050	    0.121045	    0.026827	    0.079122	    0.105949	   -0.004927	   -0.009994	   -0.014921	    0.004076	   -0.009025	   -0.004950	    0.087286	    0.113030	    0.200315	    0.020758	    0.020646	    0.041404	   -0.004790	   -0.016024	   -0.020813	    0.005421	    0.024831	    0.030252	    0.078213	    0.110721	    0.188934	    0.007340	   -0.009586	   -0.002245	    0.012377	    0.004614	    0.016991	    0.091008	    0.094678	    0.185686	    0.107683	    0.116574	    0.224257	    0.009931	    0.035682	    0.045613	    0.000411	   -0.006146	   -0.005735	    0.043376	    0.064977	    0.108353	    0.029143	    0.023470	    0.052613	   -0.017370	   -0.017893	   -0.035263
