 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 113342
ID		Version	11.0
Name	tristan_13	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     826
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.88	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.001776	    0.007490	    0.005714	    0.006030	    0.004329	    0.010359	    0.001885	    0.000355	    0.002240	   -0.000858	   -0.000536	   -0.001393	   -0.001202	   -0.000807	   -0.002009	   -0.001922	   -0.000196	   -0.002118	   -0.004103	    0.001448	   -0.002656	   -0.002034	   -0.022316	   -0.024350	    0.006421	   -0.002877	    0.003545	   -0.002652	   -0.000524	   -0.003176	   -0.000794	   -0.000181	   -0.000975	    0.000043	   -0.002678	   -0.002635	   -0.000536	   -0.002526	   -0.003062	   -0.003853	    0.002239	   -0.001614	   -0.003313	   -0.000106	   -0.003419	    0.000093	   -0.003683	   -0.003590	    0.006408	    0.003442	    0.009851	   -0.000448	    0.000345	   -0.000103	   -0.002000	    0.000384	   -0.001616	   -0.000933	   -0.001219	   -0.002151	    0.000180	   -0.002518	   -0.002338	   -0.000109	   -0.002370	   -0.002479
     0.150	0	0	    0	   -0.003633	    0.011041	    0.007408	    0.007328	    0.008856	    0.016184	    0.001597	    0.001927	    0.003525	   -0.002724	   -0.000353	   -0.003077	   -0.003447	   -0.001019	   -0.004466	   -0.004273	   -0.000517	   -0.004790	   -0.006125	   -0.000809	   -0.006934	   -0.002291	   -0.025948	   -0.028239	    0.008012	    0.003268	    0.011281	   -0.003481	   -0.001894	   -0.005376	   -0.001536	   -0.000424	   -0.001960	   -0.003582	   -0.002032	   -0.005614	   -0.004736	   -0.001023	   -0.005759	   -0.009672	    0.003258	   -0.006415	   -0.004111	   -0.002512	   -0.006623	   -0.004165	   -0.001610	   -0.005775	    0.003648	    0.008238	    0.011886	   -0.002492	    0.000754	   -0.001739	   -0.005293	    0.000005	   -0.005287	   -0.005827	   -0.000264	   -0.006091	   -0.003295	   -0.001145	   -0.004440	   -0.003374	   -0.003459	   -0.006833
     0.225	0	0	    0	   -0.006556	    0.012613	    0.006057	    0.005886	    0.010563	    0.016449	    0.000177	    0.003297	    0.003474	   -0.004468	    0.000036	   -0.004432	   -0.005637	   -0.001014	   -0.006651	   -0.006874	   -0.000970	   -0.007844	   -0.009398	   -0.002811	   -0.012209	   -0.003906	   -0.024999	   -0.028906	    0.007865	    0.004617	    0.012482	   -0.005165	   -0.001171	   -0.006336	   -0.002417	   -0.000835	   -0.003251	   -0.005643	   -0.002541	   -0.008184	   -0.006259	   -0.002790	   -0.009049	   -0.009849	    0.000274	   -0.009574	   -0.006366	   -0.002822	   -0.009188	   -0.006559	   -0.003324	   -0.009883	    0.003938	    0.005531	    0.009469	   -0.004393	    0.000151	   -0.004242	   -0.007765	   -0.001209	   -0.008974	   -0.007228	   -0.003013	   -0.010241	   -0.006631	   -0.001065	   -0.007696	   -0.004109	   -0.004339	   -0.008448
     0.300	0	0	    0	   -0.007557	    0.010660	    0.003103	    0.005222	    0.010441	    0.015663	   -0.001285	    0.002913	    0.001628	   -0.006063	   -0.000322	   -0.006384	   -0.007393	   -0.001205	   -0.008599	   -0.009327	   -0.000889	   -0.010216	   -0.015152	   -0.000876	   -0.016028	   -0.005986	   -0.022661	   -0.028647	    0.005345	    0.005601	    0.010945	   -0.006289	   -0.002022	   -0.008312	   -0.003886	   -0.001194	   -0.005080	   -0.007056	   -0.002984	   -0.010040	   -0.009440	   -0.002124	   -0.011564	   -0.016073	    0.003226	   -0.012848	   -0.009118	   -0.001926	   -0.011044	   -0.008158	   -0.004332	   -0.012490	   -0.000192	    0.007188	    0.006997	   -0.007432	    0.000079	   -0.007353	   -0.010168	   -0.001806	   -0.011974	   -0.010744	   -0.002061	   -0.012804	   -0.009450	   -0.001389	   -0.010839	   -0.004060	   -0.007500	   -0.011560
     0.375	0	0	    0	   -0.006617	    0.008377	    0.001761	    0.004134	    0.009574	    0.013708	   -0.002533	    0.002126	   -0.000408	   -0.004709	   -0.001789	   -0.006497	   -0.006027	   -0.002983	   -0.009010	   -0.012060	   -0.001811	   -0.013871	   -0.014760	   -0.004797	   -0.019556	   -0.003122	   -0.025694	   -0.028816	    0.001277	    0.004637	    0.005915	   -0.007207	   -0.002807	   -0.010014	   -0.005588	   -0.001280	   -0.006868	   -0.005004	   -0.005692	   -0.010696	   -0.012780	   -0.002569	   -0.015349	   -0.014784	   -0.003811	   -0.018595	   -0.010136	   -0.004038	   -0.014174	   -0.009983	   -0.005243	   -0.015226	   -0.001142	    0.005652	    0.004510	   -0.008383	   -0.001218	   -0.009601	   -0.012263	   -0.002918	   -0.015182	   -0.014074	   -0.002341	   -0.016414	   -0.012659	   -0.001886	   -0.014545	   -0.008615	   -0.005949	   -0.014564
     0.450	0	0	    0	   -0.002539	    0.009496	    0.006957	    0.011162	    0.007998	    0.019160	    0.002057	    0.001065	    0.003122	    0.001888	   -0.001400	    0.000488	    0.001680	   -0.001990	   -0.000310	   -0.001754	   -0.001339	   -0.003093	   -0.000828	    0.000240	   -0.000588	   -0.002229	   -0.024435	   -0.026664	    0.005149	    0.003349	    0.008497	    0.000719	   -0.003007	   -0.002288	   -0.000006	   -0.003953	   -0.003959	    0.006419	   -0.004502	    0.001917	   -0.002615	   -0.005442	   -0.008057	   -0.000102	    0.006053	    0.005951	   -0.000564	   -0.015205	   -0.015768	   -0.007579	   -0.005605	   -0.013184	    0.005133	    0.004800	    0.009933	    0.002993	   -0.002446	    0.000547	   -0.000436	   -0.004055	   -0.004491	   -0.005197	   -0.002396	   -0.007594	   -0.003436	    0.001052	   -0.002385	   -0.002840	   -0.014430	   -0.017270
     0.525	0	0	    0	   -0.001495	    0.007900	    0.006405	    0.013443	    0.009466	    0.022909	    0.005450	    0.001704	    0.007154	    0.004676	   -0.000592	    0.004083	    0.003096	   -0.001236	    0.001860	    0.000388	    0.000147	    0.000535	   -0.000940	    0.001435	    0.000495	   -0.001138	   -0.023608	   -0.024746	    0.007235	    0.004030	    0.011264	    0.003431	   -0.001493	    0.001938	    0.002652	   -0.000765	    0.001887	    0.007360	   -0.003682	    0.003678	    0.003591	   -0.002641	    0.000950	    0.000395	    0.001849	    0.002244	   -0.007006	   -0.001155	   -0.008160	   -0.006692	   -0.004431	   -0.011122	    0.008649	    0.007447	    0.016096	    0.007157	    0.001697	    0.008855	    0.004061	   -0.000358	    0.003703	    0.002634	   -0.002293	    0.000340	    0.004492	   -0.001099	    0.003393	   -0.002308	   -0.005175	   -0.007483
     0.600	0	0	    0	   -0.002392	    0.008376	    0.005984	    0.015310	    0.008508	    0.023818	    0.007930	    0.001555	    0.009485	    0.005161	    0.000122	    0.005283	    0.003798	   -0.000851	    0.002947	    0.002742	    0.000352	    0.003094	    0.000852	   -0.001836	   -0.000985	   -0.001560	   -0.023000	   -0.024560	    0.007029	    0.003407	    0.010435	    0.006212	   -0.002191	    0.004022	    0.004111	    0.000092	    0.004202	    0.007137	   -0.002457	    0.004680	    0.005003	   -0.000307	    0.004695	   -0.000637	    0.002795	    0.002158	   -0.004952	   -0.002896	   -0.007848	   -0.007033	   -0.004357	   -0.011390	    0.009639	    0.008763	    0.018403	    0.007485	    0.002981	    0.010466	    0.005192	    0.000336	    0.005528	    0.003864	   -0.000029	    0.003835	    0.005556	    0.000688	    0.006244	   -0.003518	   -0.005118	   -0.008636
