 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 092917
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     889
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   66.60	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.007921	   -0.008383	   -0.000462	   -0.005370	    0.004045	   -0.001325	   -0.006009	    0.006666	    0.000657	    0.001731	   -0.001763	   -0.000032	   -0.000669	    0.004091	    0.003421	   -0.008201	   -0.000131	   -0.008332	   -0.022581	    0.035256	    0.012676	   -0.001140	   -0.002474	   -0.003615	    0.000381	   -0.001148	   -0.000767	   -0.013414	    0.018451	    0.005037	   -0.001684	    0.000205	   -0.001479	    0.000583	    0.000400	    0.000983	   -0.001745	    0.003087	    0.001342	   -0.004940	   -0.007661	   -0.012602	   -0.000960	    0.005627	    0.004667	   -0.001519	   -0.006996	   -0.008515	   -0.001539	    0.005445	    0.003906	   -0.004663	    0.006974	    0.002311	   -0.000631	   -0.000060	   -0.000691	   -0.001149	   -0.000671	   -0.001820	   -0.003863	   -0.006979	   -0.010842	   -0.003638	    0.030481	    0.026843
     0.150	0	0	    0	   -0.003503	   -0.006266	   -0.009769	   -0.009863	    0.005544	   -0.004319	   -0.013664	    0.012091	   -0.001574	   -0.001120	   -0.001558	   -0.002677	   -0.002552	    0.004823	    0.002271	   -0.021629	    0.017371	   -0.004258	   -0.036162	    0.052479	    0.016317	   -0.004115	   -0.003623	   -0.007738	   -0.000939	   -0.002366	   -0.003305	   -0.024352	    0.031168	    0.006816	   -0.001453	    0.000019	   -0.001434	   -0.001179	    0.001087	   -0.000092	   -0.006208	    0.006340	    0.000132	    0.002770	   -0.020231	   -0.017460	   -0.015735	    0.011107	   -0.004628	   -0.003472	   -0.008418	   -0.011890	    0.001801	    0.000733	    0.002535	    0.003775	   -0.004703	   -0.000928	    0.000312	   -0.000065	    0.000247	   -0.002390	   -0.000763	   -0.003153	    0.002906	   -0.014536	   -0.011629	   -0.035141	    0.004590	   -0.030551
     0.225	0	0	    0	    0.000348	   -0.007046	   -0.006698	   -0.008921	    0.002020	   -0.006901	   -0.002739	    0.000938	   -0.001801	    0.002866	   -0.004474	   -0.001608	   -0.003796	    0.004271	    0.000475	   -0.030281	    0.027410	   -0.002872	   -0.022153	    0.031964	    0.009811	   -0.001646	   -0.011612	   -0.013258	   -0.004567	   -0.000261	   -0.004828	   -0.022486	    0.016104	   -0.006382	   -0.001037	    0.000909	   -0.000127	   -0.000531	   -0.002430	   -0.002961	   -0.011591	    0.003383	   -0.008208	    0.011833	    0.014329	    0.026162	   -0.025872	    0.001803	   -0.024068	    0.004597	   -0.006178	   -0.001581	   -0.004251	    0.007127	    0.002876	    0.005492	   -0.006447	   -0.000955	   -0.000761	    0.001005	    0.000244	   -0.001067	    0.000137	   -0.000930	    0.026567	    0.009941	    0.036508	   -0.021760	   -0.007881	   -0.029642
     0.300	0	0	    0	    0.009081	   -0.013170	   -0.004088	   -0.004533	   -0.000409	   -0.004942	   -0.005740	    0.006736	    0.000997	    0.002760	   -0.002637	    0.000124	   -0.000606	   -0.004563	   -0.005169	   -0.024662	    0.008654	   -0.016008	   -0.003351	    0.037461	    0.034110	    0.012428	   -0.003758	    0.008670	   -0.003353	   -0.003981	   -0.007335	   -0.018302	    0.021713	    0.003411	   -0.001694	    0.001261	   -0.000433	   -0.002078	   -0.000787	   -0.002865	   -0.009103	   -0.006943	   -0.016047	    0.029475	    0.021080	    0.050555	   -0.030530	    0.011950	   -0.018580	    0.034134	    0.006026	    0.040160	    0.001925	    0.000654	    0.002579	   -0.005647	    0.005426	   -0.000221	   -0.001468	    0.001420	   -0.000047	    0.001798	    0.000296	    0.002095	    0.052186	    0.044051	    0.096236	   -0.019158	    0.056061	    0.036903
     0.375	0	0	    0	    0.001058	    0.008706	    0.009764	   -0.006530	    0.004220	   -0.002310	   -0.007547	    0.005700	   -0.001847	    0.000330	    0.000013	    0.000343	   -0.010511	    0.006898	   -0.003613	   -0.023741	    0.008285	   -0.015456	   -0.017408	    0.030839	    0.013431	    0.019995	    0.020838	    0.040832	   -0.005886	   -0.001952	   -0.007838	   -0.009666	    0.010121	    0.000455	   -0.001881	    0.000713	   -0.001168	   -0.002554	   -0.000185	   -0.002739	   -0.011442	   -0.004528	   -0.015970	    0.013803	    0.026701	    0.040503	   -0.065008	    0.017596	   -0.047412	    0.025012	    0.029994	    0.055006	   -0.002358	    0.005557	    0.003200	   -0.000420	   -0.001461	   -0.001881	   -0.004007	    0.002099	   -0.001908	    0.000703	    0.003597	    0.004300	    0.034760	    0.067543	    0.102303	   -0.078845	    0.033402	   -0.045443
     0.450	0	0	    0	    0.013225	   -0.003306	    0.009918	   -0.007999	    0.004508	   -0.003491	   -0.001518	   -0.000583	   -0.002101	    0.003930	   -0.004747	   -0.000817	   -0.001226	   -0.005326	   -0.006552	   -0.018101	    0.003594	   -0.014507	   -0.043379	    0.024103	   -0.019275	    0.015649	    0.029604	    0.045253	   -0.007379	   -0.003046	   -0.010426	   -0.008493	    0.014334	    0.005841	   -0.002588	    0.000019	   -0.002569	   -0.002324	   -0.000275	   -0.002599	   -0.010185	   -0.007815	   -0.018000	   -0.009103	    0.016904	    0.007801	   -0.052474	    0.006649	   -0.045825	    0.007593	    0.021525	    0.029118	   -0.002135	    0.002685	    0.000550	   -0.005704	    0.001692	   -0.004012	   -0.006028	    0.001010	   -0.005018	   -0.004440	    0.005240	    0.000800	    0.004524	    0.043440	    0.047964	   -0.093777	   -0.029446	   -0.123222
     0.525	0	0	    0	   -0.004494	    0.001554	   -0.002940	   -0.010877	    0.003378	   -0.007499	   -0.010905	    0.004580	   -0.006325	   -0.002511	   -0.002957	   -0.005468	   -0.004032	    0.003493	   -0.000539	   -0.023599	    0.011982	   -0.011617	   -0.041733	    0.023443	   -0.018289	   -0.012895	    0.010456	   -0.002440	   -0.009603	   -0.003833	   -0.013436	   -0.025487	    0.025414	   -0.000073	   -0.003532	   -0.001141	   -0.004673	   -0.005595	    0.000583	   -0.005012	   -0.012673	   -0.001662	   -0.014336	   -0.020241	    0.010065	   -0.010176	   -0.019990	    0.006333	   -0.013657	   -0.012778	    0.000866	   -0.011912	   -0.014558	    0.008061	   -0.006497	    0.000519	   -0.005281	   -0.004761	   -0.005640	   -0.001477	   -0.007117	   -0.011724	    0.001606	   -0.010119	   -0.021480	    0.005482	   -0.015998	   -0.031250	   -0.017535	   -0.048785
     0.600	0	0	    0	   -0.016490	    0.010970	   -0.005520	   -0.007216	    0.001822	   -0.005394	   -0.006126	    0.003109	   -0.003018	   -0.008272	    0.002854	   -0.005418	   -0.011326	    0.010004	   -0.001321	   -0.017312	    0.006491	   -0.010821	   -0.033021	    0.042351	    0.009330	   -0.017140	    0.001288	   -0.015853	   -0.008985	   -0.002311	   -0.011296	   -0.031923	    0.026672	   -0.005250	   -0.003027	   -0.001685	   -0.004712	   -0.006566	    0.001515	   -0.005051	   -0.013294	    0.002886	   -0.010408	   -0.011420	   -0.006770	   -0.018190	   -0.000125	    0.001404	    0.001279	   -0.013097	   -0.006821	   -0.019918	   -0.008479	    0.001203	   -0.007276	    0.002776	   -0.006172	   -0.003397	   -0.002401	   -0.001404	   -0.003805	   -0.010603	    0.000504	   -0.010099	   -0.008710	   -0.008323	   -0.017033	    0.015500	    0.027460	    0.042959
