 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 094521
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     811
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   60.75	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.013841	    0.013211	   -0.000629	   -0.000255	   -0.003246	   -0.003502	    0.001546	   -0.003487	   -0.001942	   -0.004507	    0.003876	   -0.000631	   -0.005674	    0.003903	   -0.001771	    0.005492	   -0.010092	   -0.004600	    0.009773	   -0.022694	   -0.012922	   -0.011397	    0.010087	   -0.001309	   -0.002348	   -0.001980	   -0.004328	   -0.002189	    0.000209	   -0.001979	   -0.001348	   -0.000088	   -0.001436	   -0.001901	    0.000605	   -0.001297	   -0.004635	    0.001855	   -0.002780	   -0.003633	    0.004050	    0.000416	   -0.008745	    0.001672	   -0.007072	   -0.000049	   -0.004627	   -0.004676	   -0.002744	    0.000862	   -0.001882	   -0.002526	    0.000451	   -0.002075	   -0.001028	   -0.000663	   -0.001691	   -0.002741	   -0.000404	   -0.003144	   -0.000680	   -0.002038	   -0.002717	    0.003302	   -0.005646	   -0.002343
     0.150	0	0	    0	   -0.003110	    0.009434	    0.006324	   -0.006157	    0.000586	   -0.005571	   -0.005538	    0.000023	   -0.005514	   -0.002843	   -0.000649	   -0.003492	   -0.003108	    0.001485	   -0.001623	   -0.009094	    0.002557	   -0.006537	   -0.007381	   -0.005895	   -0.013276	   -0.001207	   -0.002016	   -0.003223	   -0.004170	   -0.002854	   -0.007024	   -0.003786	   -0.001674	   -0.005459	   -0.001872	   -0.000926	   -0.002797	   -0.003353	    0.000340	   -0.003013	   -0.004451	   -0.001331	   -0.005782	   -0.001947	   -0.001708	   -0.003655	   -0.004491	   -0.000871	   -0.005361	   -0.003260	   -0.004877	   -0.008137	   -0.003506	   -0.000850	   -0.004355	   -0.003387	   -0.000539	   -0.003926	   -0.002490	   -0.000761	   -0.003251	   -0.005287	   -0.001768	   -0.007055	   -0.003835	   -0.001466	   -0.005301	    0.002756	   -0.005427	   -0.002671
     0.225	0	0	    0	    0.001648	    0.003356	    0.005004	   -0.003664	   -0.002957	   -0.006621	    0.003081	   -0.009944	   -0.006863	   -0.001844	   -0.001484	   -0.003327	   -0.003947	    0.000903	   -0.003045	   -0.000036	   -0.011755	   -0.011791	    0.004610	   -0.012933	   -0.008323	   -0.003962	    0.001866	   -0.002096	   -0.008675	   -0.001233	   -0.009908	   -0.004905	   -0.000602	   -0.005507	   -0.003641	   -0.000319	   -0.003960	   -0.004127	   -0.000485	   -0.004612	   -0.008039	    0.000383	   -0.007656	   -0.008526	    0.000614	   -0.007912	   -0.008471	    0.003850	   -0.004622	   -0.006461	   -0.003055	   -0.009516	   -0.005394	   -0.000915	   -0.006309	   -0.004537	   -0.000414	   -0.004951	   -0.004836	   -0.000185	   -0.005021	   -0.008995	   -0.001163	   -0.010158	   -0.004121	   -0.004433	   -0.008554	   -0.002817	   -0.003930	   -0.006747
     0.300	0	0	    0	    0.007043	   -0.003467	    0.003576	   -0.006591	    0.000906	   -0.005685	   -0.007375	    0.001933	   -0.005441	   -0.004810	   -0.000152	   -0.004962	   -0.005011	   -0.000221	   -0.005232	   -0.007784	   -0.002153	   -0.009937	   -0.005930	    0.001501	   -0.004429	    0.001677	   -0.004469	   -0.002792	   -0.009497	   -0.002235	   -0.011732	   -0.005974	   -0.002243	   -0.008218	   -0.004474	   -0.000764	   -0.005237	   -0.005723	   -0.000341	   -0.006063	   -0.012114	    0.002158	   -0.009956	   -0.006503	   -0.000877	   -0.007381	    0.002127	    0.001260	    0.003387	   -0.009962	   -0.002076	   -0.012039	   -0.008186	   -0.000246	   -0.008432	   -0.005964	   -0.000886	   -0.006850	   -0.005902	   -0.001023	   -0.006925	   -0.011838	   -0.001512	   -0.013350	   -0.008802	   -0.001666	   -0.010468	    0.003498	    0.000550	    0.004049
     0.375	0	0	    0	    0.005397	   -0.003558	    0.001839	   -0.008810	    0.000171	   -0.008639	   -0.006419	   -0.003385	   -0.009804	   -0.005922	   -0.001463	   -0.007385	   -0.001573	   -0.002925	   -0.004497	   -0.014028	    0.006378	   -0.007650	    0.005391	    0.002651	    0.008042	   -0.003704	   -0.001596	   -0.005300	   -0.013183	   -0.001358	   -0.014541	   -0.008399	   -0.001696	   -0.010094	   -0.005846	   -0.000868	   -0.006714	   -0.006961	   -0.000929	   -0.007890	   -0.012086	    0.000126	   -0.011960	   -0.005366	    0.001547	   -0.003819	    0.003387	    0.011491	    0.014879	   -0.011946	   -0.004289	   -0.016235	   -0.009860	   -0.000943	   -0.010803	   -0.007347	   -0.001514	   -0.008861	   -0.007786	   -0.001022	   -0.008808	   -0.014941	   -0.002016	   -0.016957	   -0.011461	   -0.002320	   -0.013781	    0.017997	    0.007563	    0.025561
     0.450	0	0	    0	   -0.010058	    0.005170	   -0.004888	   -0.019787	   -0.008543	   -0.028329	    0.006547	    0.000268	    0.006815	   -0.012033	    0.001016	   -0.011017	   -0.008639	   -0.000883	   -0.009522	   -0.020700	   -0.001448	   -0.022149	    0.023391	    0.010568	    0.033960	   -0.015912	    0.003407	   -0.012505	   -0.030096	   -0.006085	   -0.036180	   -0.011055	   -0.004621	   -0.015675	   -0.021005	   -0.006098	   -0.027103	   -0.010809	   -0.000283	   -0.011092	   -0.021091	   -0.003424	   -0.024515	   -0.006889	    0.003101	   -0.003788	    0.002629	    0.014542	    0.017171	   -0.023885	   -0.007189	   -0.031075	   -0.012732	   -0.001927	   -0.014659	   -0.002090	   -0.001379	   -0.003469	   -0.017148	   -0.004227	   -0.021376	   -0.025117	   -0.004001	   -0.029118	   -0.017925	   -0.007968	   -0.025893	    0.034684	    0.011173	    0.045857
     0.525	0	0	    0	   -0.011590	    0.011403	   -0.000187	   -0.015126	   -0.023239	   -0.038366	    0.023453	   -0.001407	    0.022046	   -0.013221	   -0.010149	   -0.023369	   -0.011267	    0.001219	   -0.010048	   -0.004463	   -0.018587	   -0.023050	    0.063122	    0.013195	    0.076316	   -0.015836	   -0.004288	   -0.020124	   -0.040310	   -0.031434	   -0.071743	    0.000312	   -0.017092	   -0.016780	   -0.015232	   -0.020051	   -0.035283	   -0.020752	   -0.010771	   -0.031523	   -0.015038	   -0.023258	   -0.038296	    0.007109	    0.007363	    0.014472	    0.004762	    0.034765	    0.039527	   -0.015560	   -0.019162	   -0.034722	   -0.010913	   -0.014768	   -0.025681	    0.007838	   -0.002446	    0.005392	   -0.009675	   -0.016215	   -0.025890	   -0.020496	   -0.024145	   -0.044641	    0.009131	   -0.010612	   -0.001481	    0.050139	    0.037486	    0.087626
     0.600	0	0	    0	   -0.005751	    0.001871	   -0.003879	   -0.015560	   -0.016889	   -0.032449	    0.018974	    0.004975	    0.023949	   -0.007560	   -0.009967	   -0.017527	   -0.013295	   -0.003799	   -0.017094	   -0.022241	    0.003612	   -0.018629	    0.033067	    0.048661	    0.081729	   -0.014978	   -0.004974	   -0.019952	   -0.031066	   -0.030952	   -0.062017	    0.006113	   -0.012070	   -0.005957	   -0.008451	   -0.019100	   -0.027551	   -0.014260	   -0.016479	   -0.030739	   -0.003791	   -0.024965	   -0.028755	    0.006803	    0.023153	    0.029956	    0.022421	    0.031232	    0.053653	   -0.013858	   -0.013637	   -0.027495	    0.002281	   -0.013492	   -0.011211	    0.006247	   -0.002284	    0.003963	   -0.006258	   -0.013858	   -0.020116	   -0.010358	   -0.020503	   -0.030861	    0.016382	    0.001098	    0.017480	    0.075990	    0.043233	    0.119223
