 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 094511
ID		Version	11.0
Name	tristan_3	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     843
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   63.15	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.007719	    0.011245	    0.018964	    0.002774	    0.000465	    0.003239	    0.004981	    0.001016	    0.005996	    0.010552	   -0.004142	    0.006410	    0.009874	   -0.001392	    0.008481	    0.006140	    0.001735	    0.007875	    0.008348	   -0.005626	    0.002722	    0.008509	    0.014891	    0.023401	    0.002772	    0.003317	    0.006089	    0.007109	    0.004102	    0.011211	    0.006262	    0.001975	    0.008237	    0.005189	    0.000227	    0.005416	    0.010046	    0.003022	    0.013068	   -0.001638	    0.006490	    0.004853	    0.009484	   -0.003600	    0.005884	   -0.000660	    0.015747	    0.015087	    0.006039	    0.010951	    0.016990	    0.006241	    0.003287	    0.009528	    0.004331	    0.001702	    0.006033	    0.010222	    0.000155	    0.010377	    0.011811	    0.004337	    0.016148	    0.008695	   -0.002898	    0.005797
     0.150	0	0	    0	    0.006685	    0.007163	    0.013848	    0.001715	    0.000819	    0.002534	    0.007472	    0.000477	    0.007948	    0.009191	    0.000278	    0.009469	    0.011005	   -0.000074	    0.010931	    0.004473	    0.002545	    0.007017	    0.005113	   -0.007667	   -0.002554	    0.007765	    0.007865	    0.015631	    0.002794	    0.002352	    0.005146	    0.006720	    0.006090	    0.012810	    0.006679	    0.002948	    0.009627	    0.006411	    0.000890	    0.007301	    0.012984	    0.004668	    0.017652	   -0.000190	    0.006274	    0.006084	    0.005817	    0.002534	    0.008350	   -0.002451	    0.002289	   -0.000162	    0.004033	    0.008373	    0.012405	    0.002532	    0.004799	    0.007331	    0.001681	    0.003217	    0.004898	    0.011744	    0.002097	    0.013841	    0.013059	    0.006922	    0.019981	    0.004771	    0.000397	    0.005168
     0.225	0	0	    0	    0.004272	    0.007635	    0.011907	    0.001369	    0.000526	    0.001896	    0.004008	    0.003779	    0.007786	    0.008171	    0.000784	    0.008955	    0.009944	    0.001752	    0.011696	    0.001768	    0.002953	    0.004721	    0.003239	   -0.009444	   -0.006206	    0.007938	    0.004144	    0.012083	    0.000841	    0.004996	    0.005837	    0.006668	    0.007264	    0.013931	    0.004795	    0.003067	    0.007862	    0.006657	    0.000140	    0.006797	    0.011656	    0.006454	    0.018110	    0.000145	    0.004327	    0.004472	    0.011242	    0.002181	    0.013423	   -0.004258	    0.003864	   -0.000394	    0.001850	    0.005790	    0.007641	    0.002283	    0.003313	    0.005596	    0.000450	    0.001261	    0.001711	    0.011436	    0.002244	    0.013680	    0.010908	    0.008316	    0.019224	    0.013362	   -0.001129	    0.012233
     0.300	0	0	    0	    0.002865	    0.006461	    0.009325	    0.002937	    0.001229	    0.004165	    0.006047	    0.002315	    0.008362	    0.009218	   -0.000957	    0.008262	    0.012343	   -0.003408	    0.008935	   -0.000688	    0.002784	    0.002096	   -0.001457	   -0.005878	   -0.007335	    0.000700	    0.002586	    0.003286	   -0.001930	    0.005889	    0.003959	    0.006054	    0.007942	    0.013995	    0.005980	    0.002103	    0.008082	    0.006968	   -0.000697	    0.006271	    0.010422	    0.006677	    0.017099	   -0.005003	    0.007907	    0.002904	    0.012112	    0.004026	    0.016138	   -0.005068	    0.002134	   -0.002934	    0.004416	    0.004520	    0.008936	    0.002062	    0.002590	    0.004652	    0.001635	    0.000466	    0.002101	    0.010256	    0.002607	    0.012863	    0.009000	    0.008902	    0.017902	    0.016945	    0.002589	    0.019533
     0.375	0	0	    0	   -0.006808	    0.000520	   -0.006288	    0.004195	    0.003404	    0.007599	    0.006755	    0.002677	    0.009432	    0.007296	    0.001746	    0.009043	    0.010566	   -0.001135	    0.009431	   -0.003166	   -0.000341	   -0.003507	    0.001769	   -0.012798	   -0.011028	   -0.013120	   -0.020091	   -0.033211	    0.002067	    0.002282	    0.004349	    0.005348	    0.008275	    0.013623	    0.004997	    0.002960	    0.007957	    0.006702	   -0.000803	    0.005899	    0.010055	    0.006851	    0.016905	   -0.003630	    0.006310	    0.002679	    0.007096	    0.001291	    0.008387	   -0.004495	   -0.000253	   -0.004749	    0.013025	    0.010304	    0.023328	   -0.001205	    0.003015	    0.001809	    0.000369	    0.001488	    0.001858	    0.009050	    0.003613	    0.012663	    0.009133	    0.008583	    0.017717	    0.010902	    0.000292	    0.011194
     0.450	0	0	    0	   -0.013786	   -0.003751	   -0.017537	    0.001096	    0.005812	    0.006909	    0.001955	    0.006314	    0.008269	    0.007883	   -0.000129	    0.007754	    0.006533	    0.000962	    0.007495	   -0.009189	   -0.000244	   -0.009433	   -0.006617	   -0.002394	   -0.009012	   -0.015851	   -0.032626	   -0.048477	   -0.001549	    0.002222	    0.000674	    0.002234	    0.009374	    0.011608	    0.001628	    0.004099	    0.005727	    0.004580	   -0.000103	    0.004477	    0.007050	    0.007722	    0.014772	   -0.007589	    0.006588	   -0.001000	   -0.000252	    0.008122	    0.007870	   -0.005753	   -0.001362	   -0.007116	    0.006035	    0.017621	    0.023656	   -0.004855	    0.003212	   -0.001642	   -0.004256	    0.002461	   -0.001795	    0.005769	    0.003953	    0.009723	    0.006705	    0.008189	    0.014894	    0.006233	    0.003162	    0.009395
     0.525	0	0	    0	   -0.016122	   -0.007455	   -0.023577	    0.000012	    0.003125	    0.003137	    0.000970	    0.004812	    0.005782	    0.005741	    0.002152	    0.007893	    0.005772	    0.002138	    0.007910	   -0.012209	    0.000250	   -0.011959	   -0.004528	   -0.003418	   -0.007946	   -0.017188	   -0.033690	   -0.050878	   -0.004557	    0.001129	   -0.003429	   -0.000176	    0.009379	    0.009203	   -0.001302	    0.003571	    0.002269	    0.003224	   -0.000142	    0.003082	    0.003638	    0.008381	    0.012019	   -0.009529	    0.009385	   -0.000144	    0.000876	    0.004181	    0.005057	   -0.009715	   -0.002013	   -0.011728	   -0.000279	    0.012872	    0.012594	   -0.006698	    0.002823	   -0.003875	   -0.006273	    0.000778	   -0.005495	    0.001597	    0.004544	    0.006141	    0.001299	    0.010817	    0.012116	    0.002949	    0.003364	    0.006312
     0.600	0	0	    0	   -0.015084	   -0.013925	   -0.029009	   -0.003166	    0.001127	   -0.002039	   -0.001222	    0.002870	    0.001648	    0.002343	    0.000203	    0.002546	    0.002247	    0.001568	    0.003815	   -0.014257	   -0.000703	   -0.014960	   -0.006540	   -0.007173	   -0.013713	   -0.009841	   -0.028405	   -0.038246	   -0.001106	   -0.002851	   -0.003958	   -0.002689	    0.008081	    0.005392	   -0.004302	    0.003467	   -0.000835	    0.002977	   -0.002240	    0.000737	    0.001122	    0.007284	    0.008406	   -0.012070	    0.008686	   -0.003385	   -0.008678	    0.010786	    0.002109	   -0.010024	   -0.011714	   -0.021737	   -0.001347	    0.008736	    0.007389	   -0.009014	    0.002298	   -0.006716	   -0.009346	    0.001151	   -0.008195	   -0.000597	    0.002684	    0.002087	   -0.002735	    0.008954	    0.006219	   -0.002011	    0.000160	   -0.001851
