 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 112943
ID		Version	11.0
Name	tristan_12	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     840
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   62.93	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.002110	   -0.002337	   -0.000227	   -0.000014	   -0.000662	   -0.000676	   -0.000005	    0.000506	    0.000502	    0.000392	    0.000535	    0.000928	    0.000566	    0.000142	    0.000709	    0.001057	   -0.000024	    0.001033	    0.004094	   -0.002491	    0.001603	    0.002330	    0.001245	    0.003575	    0.002199	   -0.001738	    0.000461	    0.000131	    0.000150	    0.000281	   -0.000230	    0.000247	    0.000017	    0.001564	   -0.001013	    0.000551	    0.000974	   -0.000835	    0.000139	    0.004669	   -0.003110	    0.001558	    0.002496	   -0.001519	    0.000978	    0.001787	    0.001099	    0.002886	    0.001017	   -0.000916	    0.000101	   -0.000464	   -0.000307	   -0.000771	   -0.001023	   -0.000006	   -0.001028	    0.000850	   -0.001395	   -0.000545	    0.000324	   -0.000297	    0.000027	    0.002561	   -0.001891	    0.000670
     0.150	0	0	    0	   -0.001272	   -0.000507	   -0.001779	   -0.002521	    0.000170	   -0.002351	   -0.000699	    0.000054	   -0.000645	   -0.001764	    0.001679	   -0.000085	   -0.000185	   -0.000074	   -0.000259	   -0.000597	   -0.000214	   -0.000810	    0.001482	   -0.001083	    0.000399	    0.000809	    0.004541	    0.005350	   -0.000976	    0.000547	   -0.000429	   -0.001724	    0.001062	   -0.000661	   -0.001121	    0.000193	   -0.000928	   -0.001567	    0.001375	   -0.000192	   -0.001366	   -0.000299	   -0.001665	    0.000116	   -0.003431	   -0.003316	    0.002493	   -0.001727	    0.000766	    0.001987	    0.002225	    0.004212	   -0.001338	    0.000205	   -0.001133	   -0.002989	   -0.000016	   -0.003005	   -0.003062	    0.000065	   -0.002996	   -0.001913	    0.000092	   -0.001820	   -0.002469	    0.000100	   -0.002369	    0.000390	   -0.000887	   -0.000497
     0.225	0	0	    0	   -0.001826	   -0.001249	   -0.003075	   -0.004125	   -0.000383	   -0.004508	   -0.002481	    0.000520	   -0.001961	   -0.002643	    0.001182	   -0.001461	   -0.001595	    0.000036	   -0.001559	   -0.002792	   -0.000578	   -0.003371	   -0.001758	   -0.002117	   -0.003874	    0.002300	    0.003324	    0.005625	   -0.001342	   -0.000482	   -0.001824	   -0.002446	    0.000526	   -0.001920	   -0.002591	    0.000098	   -0.002493	   -0.002537	    0.000869	   -0.001667	   -0.003658	   -0.001060	   -0.004717	   -0.003141	   -0.002872	   -0.006013	    0.002382	   -0.004078	   -0.001696	    0.002082	    0.002554	    0.004636	   -0.003764	    0.000625	   -0.003140	   -0.004533	   -0.000883	   -0.005415	   -0.005309	   -0.000575	   -0.005884	   -0.004451	   -0.001050	   -0.005500	   -0.004188	   -0.000604	   -0.004792	    0.002954	   -0.003772	   -0.000818
     0.300	0	0	    0	   -0.003505	   -0.002108	   -0.005613	   -0.006237	   -0.000471	   -0.006709	   -0.003011	   -0.000065	   -0.003076	   -0.003835	    0.001291	   -0.002544	   -0.003225	   -0.000785	   -0.004010	   -0.004978	   -0.001112	   -0.006090	   -0.004703	   -0.001855	   -0.006558	    0.001373	    0.003945	    0.005318	   -0.003972	   -0.000149	   -0.004121	   -0.003340	    0.000374	   -0.002966	   -0.003244	   -0.000061	   -0.003305	   -0.003783	   -0.000177	   -0.003960	   -0.006477	   -0.000976	   -0.007453	   -0.003716	   -0.004890	   -0.008606	    0.003064	   -0.006318	   -0.003254	    0.002420	    0.002195	    0.004615	   -0.004766	   -0.000262	   -0.005028	   -0.006721	   -0.001231	   -0.007952	   -0.007877	   -0.001559	   -0.009435	   -0.006985	   -0.001101	   -0.008086	   -0.007524	    0.000222	   -0.007302	    0.001370	   -0.001944	   -0.000573
     0.375	0	0	    0	   -0.004394	   -0.002899	   -0.007294	   -0.008460	   -0.000204	   -0.008663	   -0.003373	    0.000342	   -0.003031	   -0.004109	    0.000817	   -0.003292	   -0.004972	   -0.001046	   -0.006018	   -0.007887	   -0.001293	   -0.009180	   -0.008103	   -0.000751	   -0.008854	    0.001706	    0.003120	    0.004826	   -0.005258	   -0.000396	   -0.005654	   -0.003758	    0.000812	   -0.002947	    0.000027	    0.000687	    0.000714	   -0.004197	   -0.000444	   -0.004641	   -0.008348	   -0.002017	   -0.010365	   -0.007973	   -0.005602	   -0.013575	    0.002959	   -0.008540	   -0.005581	    0.003234	    0.002410	    0.005644	   -0.004165	   -0.002743	   -0.006908	   -0.009686	   -0.002273	   -0.011959	   -0.013364	   -0.003489	   -0.016854	   -0.009212	   -0.001346	   -0.010557	   -0.008810	   -0.000347	   -0.009157	    0.003137	   -0.004109	   -0.000972
     0.450	0	0	    0	   -0.008983	   -0.002486	   -0.011469	   -0.011769	   -0.001005	   -0.012774	   -0.003492	    0.000574	   -0.002919	   -0.004834	    0.001353	   -0.003481	   -0.008571	   -0.001446	   -0.010018	   -0.012088	   -0.001299	   -0.013386	   -0.010282	   -0.005272	   -0.015554	   -0.001778	    0.001855	    0.000076	   -0.010047	   -0.002945	   -0.012992	   -0.006262	    0.001201	   -0.005061	    0.002033	    0.003627	    0.005660	   -0.006283	    0.000742	   -0.005540	   -0.013644	   -0.001808	   -0.015452	   -0.015410	   -0.004350	   -0.019760	    0.002653	   -0.009849	   -0.007196	    0.003771	    0.003509	    0.007280	   -0.011154	   -0.000316	   -0.011470	   -0.008340	   -0.004472	   -0.012811	   -0.015901	   -0.008287	   -0.024188	   -0.011152	   -0.002924	   -0.014075	   -0.011600	   -0.002969	   -0.014569	    0.005695	   -0.006657	   -0.000962
     0.525	0	0	    0	   -0.003301	   -0.004608	   -0.007909	   -0.006400	   -0.002010	   -0.008410	    0.000303	    0.001651	    0.001954	   -0.002261	    0.000997	   -0.001264	   -0.007247	   -0.004007	   -0.011255	   -0.004422	   -0.002385	   -0.006806	    0.005286	   -0.004484	    0.000801	    0.000665	    0.002183	    0.002848	   -0.007101	   -0.005446	   -0.012547	    0.001282	    0.000265	    0.001547	    0.007513	    0.006193	    0.013706	   -0.001154	   -0.001802	   -0.002956	   -0.003400	   -0.005994	   -0.009393	    0.000259	   -0.007364	   -0.007105	    0.007038	   -0.005010	    0.002028	    0.009999	    0.005222	    0.015221	   -0.004584	   -0.006849	   -0.011433	   -0.000775	   -0.003129	   -0.003904	   -0.008291	   -0.008662	   -0.016953	   -0.000742	   -0.004012	   -0.004753	   -0.002446	   -0.007942	   -0.010388	    0.010388	   -0.001435	    0.008953
     0.600	0	0	    0	    0.000032	   -0.003889	   -0.003856	   -0.006108	   -0.001595	   -0.007703	    0.001957	    0.002408	    0.004365	    0.002161	    0.002761	    0.004922	   -0.002896	   -0.003285	   -0.006180	   -0.003944	   -0.001298	   -0.005242	    0.008702	   -0.004379	    0.004324	    0.003718	    0.006085	    0.009803	   -0.002657	   -0.004418	   -0.007075	    0.005519	    0.002731	    0.008249	    0.011951	    0.008190	    0.020141	    0.005741	    0.000787	    0.006528	    0.002015	   -0.001067	    0.000949	    0.006653	   -0.006235	    0.000419	    0.006444	    0.005371	    0.011815	    0.017683	    0.009250	    0.026934	   -0.000075	   -0.004633	   -0.004708	    0.000169	   -0.002580	   -0.002411	   -0.009028	   -0.009014	   -0.018042	    0.004714	   -0.001783	    0.002932	    0.000254	   -0.002598	   -0.002344	    0.017019	    0.003299	    0.020318
